Pokedex Nr.;Name (Deutsch);Entwicklungsstufe;Gewicht;Primärer Typ;Sekundärer Typ
141;Kabutops;2;40.5;Gestein;Wasser
142;Aerodactyl;1;59.0;Gestein;Flug
143;Relaxo;2;460.0;Normal;
144;Arktos;1;55.4;Eis;Flug
145;Zapdos;1;52.6;Elektro;Flug
146;Lavados;1;60.0;Feuer;Flug
147;Dratini;1;3.3;Drache;
148;Dragonir;2;16.5;Drache;
149;Dragoran;3;210.0;Drache;Flug
150;Mewtu;1;122.0;Psycho;
151;Mew;1;4.0;Psycho;
